trial,alpha,alg,group,t,t-inv
0,0.1,eval,13.0,65.0,101.0
0,0.1,eval,24.0,411.0,101.0
0,0.1,eval,7.0,2255.0,314.0
0,0.1,sprt,13.0,1223.0,454.0
0,0.1,sprt,24.0,1624.0,642.0
0,0.1,sprt,7.0,2519.0,1353.0
0,0.1,lilt,13.0,337.0,101.0
0,0.1,lilt,24.0,1120.0,101.0
0,0.1,lilt,7.0,2450.0,101.0
0,0.1,lila,13.0,101.0,101.0
0,0.1,lila,24.0,101.0,101.0
0,0.1,lila,7.0,1841.0,101.0
1,0.1,eval,13.0,104.0,101.0
1,0.1,eval,24.0,403.0,141.0
1,0.1,eval,7.0,1692.0,621.0
1,0.1,sprt,13.0,1076.0,403.0
1,0.1,sprt,24.0,1682.0,689.0
1,0.1,sprt,7.0,2307.0,776.0
1,0.1,lilt,13.0,368.0,101.0
1,0.1,lilt,24.0,939.0,101.0
1,0.1,lilt,7.0,1948.0,101.0
1,0.1,lila,13.0,101.0,101.0
1,0.1,lila,24.0,398.0,101.0
1,0.1,lila,7.0,774.0,101.0
2,0.1,eval,7.0,136.0,101.0
2,0.1,eval,13.0,158.0,123.0
2,0.1,eval,24.0,466.0,183.0
2,0.1,sprt,13.0,919.0,430.0
2,0.1,sprt,24.0,1529.0,547.0
2,0.1,sprt,7.0,2385.0,930.0
2,0.1,lilt,13.0,243.0,101.0
2,0.1,lilt,24.0,561.0,101.0
2,0.1,lilt,7.0,1967.0,101.0
2,0.1,lila,7.0,126.0,101.0
2,0.1,lila,13.0,131.0,101.0
2,0.1,lila,24.0,460.0,101.0
3,0.1,eval,13.0,151.0,101.0
3,0.1,eval,24.0,283.0,197.0
3,0.1,eval,7.0,739.0,171.0
3,0.1,sprt,13.0,1145.0,384.0
3,0.1,sprt,24.0,1683.0,487.0
3,0.1,sprt,7.0,1959.0,758.0
3,0.1,lilt,13.0,278.0,101.0
3,0.1,lilt,24.0,486.0,101.0
3,0.1,lilt,7.0,976.0,101.0
