trial,alpha,stoptime,gflag_idx,alg
0,0.01,1049,103,unif
0,0.01,1029,103,max
0,0.01,1302,103,bonf
0,0.01,2075,103,innerprod
0,0.01,1071,103,avg
0,0.020000000000000004,1115,103,unif
0,0.020000000000000004,1026,103,max
0,0.020000000000000004,1195,103,bonf
0,0.020000000000000004,2013,103,innerprod
0,0.020000000000000004,1070,103,avg
0,0.030000000000000006,1049,79,unif
0,0.030000000000000006,1006,103,max
0,0.030000000000000006,1161,103,bonf
0,0.030000000000000006,1971,103,innerprod
0,0.030000000000000006,1056,103,avg
0,0.04000000000000001,1066,79,unif
0,0.04000000000000001,403,79,max
0,0.04000000000000001,1161,103,bonf
0,0.04000000000000001,1873,103,innerprod
0,0.04000000000000001,1056,103,avg
0,0.05000000000000001,1042,103,unif
0,0.05000000000000001,403,79,max
0,0.05000000000000001,1152,103,bonf
0,0.05000000000000001,1534,103,innerprod
0,0.05000000000000001,1056,103,avg
0,0.06000000000000001,420,79,unif
0,0.06000000000000001,342,79,max
0,0.06000000000000001,1135,103,bonf
0,0.06000000000000001,1529,103,innerprod
0,0.06000000000000001,1056,103,avg
0,0.07,343,79,unif
0,0.07,294,79,max
0,0.07,1135,103,bonf
0,0.07,1411,103,innerprod
0,0.07,1034,103,avg
0,0.08,409,5,unif
0,0.08,228,34,max
0,0.08,1078,103,bonf
0,0.08,1403,103,innerprod
0,0.08,1034,103,avg
0,0.09000000000000001,346,79,unif
0,0.09000000000000001,141,34,max
0,0.09000000000000001,1078,103,bonf
0,0.09000000000000001,1395,103,innerprod
0,0.09000000000000001,1034,103,avg
0,0.1,284,79,unif
0,0.1,141,34,max
0,0.1,1078,103,bonf
0,0.1,1391,103,innerprod
0,0.1,1034,103,avg
1,0.01,971,6,unif
1,0.01,380,51,max
1,0.01,1861,80,bonf
1,0.01,1627,103,innerprod
1,0.01,955,6,avg
1,0.020000000000000004,1004,80,unif
1,0.020000000000000004,282,51,max
1,0.020000000000000004,1837,80,bonf
1,0.020000000000000004,1205,103,innerprod
1,0.020000000000000004,919,6,avg
1,0.030000000000000006,805,80,unif
1,0.030000000000000006,126,34,max
1,0.030000000000000006,1825,80,bonf
1,0.030000000000000006,956,103,innerprod
1,0.030000000000000006,919,6,avg
1,0.04000000000000001,287,51,unif
1,0.04000000000000001,126,34,max
1,0.04000000000000001,1810,80,bonf
1,0.04000000000000001,901,103,innerprod
1,0.04000000000000001,903,6,avg
1,0.05000000000000001,147,80,unif
1,0.05000000000000001,116,34,max
1,0.05000000000000001,1756,80,bonf
1,0.05000000000000001,876,103,innerprod
