trial,alpha,alg,group,t,t-inv
0,0.1,eval,103.0,452.0,128.0
0,0.1,eval,51.0,592.0,195.0
0,0.1,eval,80.0,598.0,173.0
0,0.1,eval,29.0,601.0,190.0
0,0.1,eval,86.0,844.0,429.0
0,0.1,eval,104.0,845.0,548.0
0,0.1,eval,34.0,1072.0,478.0
0,0.1,eval,52.0,1166.0,429.0
0,0.1,eval,47.0,1262.0,835.0
0,0.1,eval,46.0,1545.0,633.0
0,0.1,eval,79.0,1665.0,326.0
0,0.1,eval,28.0,2086.0,1676.0
0,0.1,eval,6.0,3077.0,2726.0
0,0.1,eval,74.0,3200.0,1965.0
0,0.1,eval,81.0,3275.0,929.0
0,0.1,eval,2.0,3361.0,2236.0
0,0.1,eval,75.0,3620.0,528.0
0,0.1,eval,5.0,3713.0,1618.0
0,0.1,eval,87.0,3792.0,1762.0
0,0.1,eval,88.0,3982.0,815.0
0,0.1,eval,25.0,4016.0,528.0
0,0.1,eval,114.0,4739.0,979.0
0,0.1,eval,7.0,5128.0,1953.0
0,0.1,eval,76.0,5415.0,3909.0
0,0.1,eval,78.0,5485.0,4918.0
0,0.1,eval,30.0,5539.0,3275.0
0,0.1,eval,11.0,5753.0,844.0
0,0.1,eval,4.0,5839.0,4928.0
0,0.1,eval,12.0,6266.0,1275.0
0,0.1,eval,35.0,7446.0,3280.0
0,0.1,eval,85.0,8317.0,1184.0
0,0.1,eval,82.0,9267.0,6672.0
0,0.1,eval,62.0,9435.0,5811.0
0,0.1,lilt,104.0,1182.0,1029.0
0,0.1,lilt,103.0,1954.0,16.0
0,0.1,lilt,46.0,4888.0,1029.0
0,0.1,lilt,52.0,5138.0,1029.0
0,0.1,lilt,51.0,8171.0,16.0
0,0.1,lilt,47.0,9720.0,1029.0
0,0.1,lila,71.0,51.0,3458.0
0,0.1,lila,29.0,128.0,92.0
0,0.1,lila,80.0,128.0,51.0
0,0.1,lila,103.0,146.0,51.0
0,0.1,lila,51.0,379.0,51.0
0,0.1,lila,52.0,508.0,51.0
0,0.1,lila,76.0,523.0,378.0
0,0.1,lila,36.0,537.0,364.0
0,0.1,lila,34.0,548.0,196.0
0,0.1,lila,86.0,548.0,115.0
0,0.1,lila,25.0,549.0,257.0
0,0.1,lila,104.0,640.0,51.0
0,0.1,lila,88.0,815.0,349.0
0,0.1,lila,46.0,1115.0,51.0
0,0.1,lila,47.0,1448.0,51.0
0,0.1,lila,114.0,1550.0,161.0
0,0.1,lila,79.0,1636.0,51.0
0,0.1,lila,28.0,1809.0,179.0
0,0.1,lila,74.0,2313.0,130.0
0,0.1,lila,13.0,2383.0,812.0
0,0.1,lila,75.0,2388.0,232.0
0,0.1,lila,6.0,2807.0,163.0
0,0.1,lila,81.0,2853.0,305.0
0,0.1,lila,2.0,2952.0,270.0
0,0.1,lila,5.0,3180.0,93.0
0,0.1,lila,87.0,3193.0,78.0
0,0.1,lila,35.0,4411.0,78.0
0,0.1,lila,7.0,4559.0,386.0
0,0.1,lila,11.0,4648.0,140.0
0,0.1,lila,12.0,4980.0,473.0
0,0.1,lila,85.0,5072.0,51.0
0,0.1,lila,30.0,5194.0,439.0
0,0.1,lila,78.0,5339.0,111.0
0,0.1,lila,4.0,5363.0,224.0
0,0.1,lila,62.0,6678.0,291.0
0,0.1,lila,10.0,8317.0,343.0
0,0.1,lila,82.0,8331.0,596.0
0,0.1,lila,8.0,9466.0,697.0
1,0.1,eval,104.0,773.0,501.0
1,0.1,eval,103.0,1145.0,133.0
1,0.1,eval,80.0,1191.0,300.0
1,0.1,eval,6.0,1306.0,373.0
1,0.1,eval,46.0,1402.0,88.0
1,0.1,eval,47.0,1592.0,655.0
1,0.1,eval,52.0,1610.0,109.0
1,0.1,eval,87.0,2101.0,1617.0
1,0.1,eval,79.0,2140.0,1491.0
1,0.1,eval,51.0,2383.0,992.0
1,0.1,eval,89.0,2532.0,1065.0
1,0.1,eval,86.0,2536.0,653.0
1,0.1,eval,28.0,2656.0,1013.0
1,0.1,eval,81.0,2869.0,2180.0
1,0.1,eval,5.0,2889.0,1588.0
1,0.1,eval,7.0,2895.0,1948.0
1,0.1,eval,74.0,3032.0,2190.0
1,0.1,eval,2.0,3043.0,1700.0
1,0.1,eval,11.0,3280.0,2072.0
1,0.1,eval,35.0,3302.0,1828.0
1,0.1,eval,34.0,3405.0,618.0
1,0.1,eval,29.0,3661.0,2416.0
1,0.1,eval,88.0,4004.0,1373.0
1,0.1,eval,12.0,4345.0,2100.0
1,0.1,eval,85.0,4736.0,1860.0
1,0.1,eval,30.0,6824.0,3409.0
1,0.1,eval,75.0,7526.0,4910.0
1,0.1,eval,114.0,7924.0,430.0
1,0.1,eval,33.0,8139.0,3465.0
1,0.1,eval,25.0,9027.0,5662.0
1,0.1,eval,10.0,9066.0,377.0
1,0.1,eval,36.0,9741.0,1417.0
1,0.1,lilt,104.0,1465.0,1250.0
1,0.1,lilt,103.0,2102.0,1250.0
1,0.1,lilt,52.0,4133.0,1250.0
1,0.1,lilt,46.0,6181.0,1250.0
1,0.1,lilt,51.0,6561.0,1250.0
1,0.1,lilt,47.0,9934.0,1250.0
1,0.1,lila,2.0,51.0,51.0
1,0.1,lila,91.0,51.0,494.0
1,0.1,lila,6.0,384.0,97.0
1,0.1,lila,80.0,455.0,60.0
1,0.1,lila,114.0,521.0,138.0
1,0.1,lila,69.0,547.0,138.0
1,0.1,lila,44.0,565.0,138.0
1,0.1,lila,104.0,618.0,51.0
1,0.1,lila,34.0,665.0,76.0
1,0.1,lila,86.0,845.0,76.0
1,0.1,lila,103.0,1058.0,51.0
1,0.1,lila,51.0,1156.0,60.0
1,0.1,lila,52.0,1218.0,51.0
1,0.1,lila,89.0,1248.0,275.0
1,0.1,lila,46.0,1363.0,51.0
1,0.1,lila,88.0,1428.0,169.0
1,0.1,lila,47.0,1443.0,92.0
1,0.1,lila,87.0,1978.0,224.0
1,0.1,lila,85.0,2066.0,64.0
1,0.1,lila,7.0,2187.0,206.0
1,0.1,lila,82.0,2225.0,442.0
1,0.1,lila,81.0,2319.0,206.0
1,0.1,lila,35.0,2332.0,225.0
1,0.1,lila,10.0,2433.0,164.0
1,0.1,lila,79.0,2519.0,124.0
1,0.1,lila,28.0,2656.0,248.0
1,0.1,lila,29.0,2747.0,245.0
1,0.1,lila,74.0,2855.0,51.0
1,0.1,lila,12.0,3169.0,544.0
1,0.1,lila,11.0,3239.0,490.0
1,0.1,lila,36.0,3247.0,466.0
1,0.1,lila,8.0,3408.0,1047.0
1,0.1,lila,37.0,3794.0,355.0
1,0.1,lila,14.0,4653.0,905.0
1,0.1,lila,33.0,4825.0,64.0
1,0.1,lila,5.0,4923.0,128.0
1,0.1,lila,75.0,6340.0,280.0
1,0.1,lila,30.0,6371.0,983.0
1,0.1,lila,76.0,7560.0,1110.0
1,0.1,lila,25.0,8444.0,462.0
1,0.1,lila,83.0,9568.0,743.0
2,0.1,eval,47.0,322.0,220.0
2,0.1,eval,104.0,325.0,213.0
2,0.1,eval,103.0,401.0,268.0
2,0.1,eval,46.0,428.0,215.0
2,0.1,eval,5.0,584.0,268.0
2,0.1,eval,79.0,896.0,307.0
2,0.1,eval,52.0,1475.0,1067.0
2,0.1,eval,34.0,1706.0,1017.0
2,0.1,eval,86.0,1748.0,1019.0
2,0.1,eval,87.0,2197.0,1457.0
2,0.1,eval,51.0,2265.0,532.0
2,0.1,eval,81.0,2392.0,410.0
2,0.1,eval,28.0,3367.0,2212.0
2,0.1,eval,80.0,3400.0,2065.0
