trial,alpha,alg,group,t,t-inv
0,0.1,lila,29.0,101.0,101.0
1,0.1,eval,80.0,8808.0,4300.0
1,0.1,lila,53.0,163.0,146.0
1,0.1,lila,80.0,5290.0,101.0
2,0.1,eval,80.0,6101.0,1265.0
2,0.1,lila,80.0,2305.0,101.0
2,0.1,lila,29.0,5861.0,230.0
3,0.1,eval,30.0,5506.0,541.0
3,0.1,lila,30.0,561.0,151.0
3,0.1,lila,83.0,9398.0,625.0
4,0.1,eval,103.0,460.0,259.0
4,0.1,eval,80.0,9159.0,4467.0
4,0.1,lila,46.0,283.0,101.0
4,0.1,lila,103.0,448.0,101.0
4,0.1,lila,80.0,5408.0,101.0
4,0.1,lila,29.0,9211.0,188.0
4,0.1,lila,83.0,9728.0,667.0
6,0.1,lila,26.0,154.0,154.0
7,0.1,eval,51.0,7801.0,6723.0
7,0.1,lila,51.0,7254.0,101.0
7,0.1,lila,30.0,8846.0,260.0
8,0.1,lila,6.0,282.0,152.0
9,0.1,lila,53.0,106.0,106.0
10,0.1,lila,83.0,4463.0,886.0
14,0.1,eval,51.0,8398.0,129.0
14,0.1,lila,83.0,264.0,213.0
14,0.1,lila,7.0,348.0,207.0
14,0.1,lila,103.0,848.0,101.0
14,0.1,lila,51.0,8398.0,101.0
15,0.1,lila,83.0,142.0,142.0
17,0.1,lila,36.0,119.0,119.0
18,0.1,lila,28.0,9422.0,101.0
18,0.1,lila,51.0,9958.0,101.0
19,0.1,lila,7.0,169.0,101.0
19,0.1,lila,81.0,169.0,101.0
19,0.1,lila,91.0,1062.0,798.0
20,0.1,lila,51.0,5741.0,101.0
21,0.1,eval,81.0,4101.0,242.0
21,0.1,eval,7.0,4993.0,1144.0
21,0.1,lila,91.0,181.0,181.0
21,0.1,lila,81.0,3166.0,149.0
21,0.1,lila,7.0,4613.0,149.0
23,0.1,lila,80.0,9836.0,203.0
24,0.1,eval,80.0,2607.0,1541.0
24,0.1,lila,6.0,101.0,101.0
24,0.1,lila,91.0,1175.0,518.0
24,0.1,lila,80.0,2051.0,101.0
24,0.1,lila,29.0,4106.0,183.0
25,0.1,lila,30.0,2704.0,112.0
26,0.1,lila,80.0,8275.0,104.0
26,0.1,lila,29.0,8822.0,104.0
26,0.1,lila,81.0,9396.0,133.0
28,0.1,lila,30.0,113.0,101.0
29,0.1,lila,80.0,3806.0,101.0
29,0.1,lila,30.0,5410.0,260.0
30,0.1,lila,13.0,150.0,150.0
30,0.1,lila,7.0,693.0,101.0
31,0.1,lila,36.0,633.0,304.0
33,0.1,lila,30.0,3603.0,117.0
35,0.1,eval,103.0,7205.0,5927.0
35,0.1,eval,31.0,7496.0,6720.0
35,0.1,lila,80.0,1530.0,140.0
35,0.1,lila,103.0,6323.0,101.0
35,0.1,lila,81.0,6457.0,232.0
35,0.1,lila,31.0,7371.0,977.0
35,0.1,lila,51.0,7379.0,101.0
36,0.1,lila,11.0,118.0,101.0
37,0.1,lila,53.0,101.0,101.0
38,0.1,eval,80.0,6265.0,1096.0
38,0.1,lila,80.0,4414.0,101.0
38,0.1,lila,6.0,6261.0,123.0
39,0.1,lila,80.0,571.0,101.0
39,0.1,lila,30.0,6279.0,246.0
39,0.1,lila,81.0,6592.0,228.0
40,0.1,lila,3.0,105.0,105.0
42,0.1,eval,6.0,4023.0,2067.0
42,0.1,eval,80.0,4490.0,174.0
42,0.1,lila,6.0,3738.0,127.0
42,0.1,lila,80.0,4037.0,119.0
43,0.1,eval,80.0,7594.0,143.0
43,0.1,lila,6.0,156.0,101.0
43,0.1,lila,80.0,7364.0,101.0
43,0.1,lila,29.0,9311.0,109.0
44,0.1,eval,80.0,6281.0,2735.0
44,0.1,eval,29.0,7143.0,5577.0
44,0.1,lila,80.0,4216.0,101.0
44,0.1,lila,29.0,6788.0,206.0
47,0.1,lila,29.0,230.0,105.0
47,0.1,lila,81.0,2564.0,278.0
48,0.1,lila,80.0,9935.0,101.0
49,0.1,eval,29.0,1463.0,1068.0
49,0.1,lila,29.0,1404.0,278.0
49,0.1,lila,51.0,3044.0,101.0
