trial,alpha,stoptime,gflag_idx,alg,group,t
0,0.1,,,eval,51.0,3624.0
0,0.1,,,eval,103.0,4569.0
0,0.1,,,eval,29.0,5255.0
0,0.1,,,eval,80.0,7251.0
0,0.1,,,eval,30.0,7821.0
0,0.1,,,sprt,103.0,7400.0
0,0.1,,,sprt,51.0,9684.0
0,0.1,,,lilt,83.0,6.0
0,0.1,,,lilt,51.0,1508.0
0,0.1,,,lilt,103.0,3677.0
0,0.1,,,lilt,80.0,4587.0
0,0.1,,,lilt,29.0,4698.0
0,0.1,,,lilt,30.0,6414.0
1,0.1,,,eval,51.0,9057.0
1,0.1,,,lilt,22.0,2.0
1,0.1,,,lilt,50.0,2.0
1,0.1,,,lilt,72.0,2.0
1,0.1,,,lilt,30.0,6.0
1,0.1,,,lilt,81.0,6.0
1,0.1,,,lilt,11.0,49.0
1,0.1,,,lilt,37.0,84.0
1,0.1,,,lilt,80.0,7810.0
1,0.1,,,lilt,51.0,8185.0
2,0.1,,,eval,29.0,4340.0
2,0.1,,,eval,80.0,4340.0
2,0.1,,,eval,51.0,4779.0
2,0.1,,,eval,103.0,5198.0
2,0.1,,,lilt,29.0,3.0
2,0.1,,,lilt,51.0,3.0
2,0.1,,,lilt,80.0,3.0
2,0.1,,,lilt,0.0,6.0
2,0.1,,,lilt,10.0,16.0
2,0.1,,,lilt,71.0,34.0
2,0.1,,,lilt,55.0,44.0
2,0.1,,,lilt,48.0,980.0
2,0.1,,,lilt,103.0,4296.0
3,0.1,,,eval,35.0,3022.0
3,0.1,,,eval,103.0,8361.0
3,0.1,,,eval,51.0,8704.0
3,0.1,,,lilt,33.0,2.0
3,0.1,,,lilt,52.0,2.0
3,0.1,,,lilt,85.0,2.0
3,0.1,,,lilt,6.0,3.0
3,0.1,,,lilt,46.0,3.0
3,0.1,,,lilt,80.0,3.0
3,0.1,,,lilt,21.0,5.0
3,0.1,,,lilt,62.0,5.0
3,0.1,,,lilt,27.0,7.0
3,0.1,,,lilt,25.0,10.0
3,0.1,,,lilt,75.0,10.0
3,0.1,,,lilt,35.0,2476.0
3,0.1,,,lilt,103.0,5911.0
3,0.1,,,lilt,51.0,8432.0
4,0.1,,,eval,51.0,8905.0
4,0.1,,,lilt,28.0,2.0
4,0.1,,,lilt,51.0,2.0
4,0.1,,,lilt,79.0,2.0
4,0.1,,,lilt,103.0,2.0
4,0.1,,,lilt,19.0,6.0
4,0.1,,,lilt,60.0,6.0
4,0.1,,,lilt,30.0,8.0
4,0.1,,,lilt,48.0,346.0
5,0.1,,,eval,51.0,1184.0
5,0.1,,,eval,29.0,1360.0
5,0.1,,,eval,80.0,1387.0
5,0.1,,,eval,103.0,6577.0
5,0.1,,,lilt,41.0,2.0
5,0.1,,,lilt,66.0,2.0
5,0.1,,,lilt,8.0,7.0
5,0.1,,,lilt,82.0,7.0
5,0.1,,,lilt,11.0,8.0
5,0.1,,,lilt,27.0,126.0
5,0.1,,,lilt,51.0,199.0
5,0.1,,,lilt,29.0,470.0
5,0.1,,,lilt,80.0,1310.0
5,0.1,,,lilt,103.0,1439.0
5,0.1,,,lilt,28.0,9627.0
6,0.1,,,eval,51.0,8120.0
6,0.1,,,eval,35.0,8305.0
6,0.1,,,lilt,7.0,2.0
6,0.1,,,lilt,46.0,2.0
6,0.1,,,lilt,59.0,2.0
6,0.1,,,lilt,81.0,2.0
6,0.1,,,lilt,103.0,2.0
6,0.1,,,lilt,34.0,3.0
6,0.1,,,lilt,86.0,3.0
6,0.1,,,lilt,5.0,5.0
6,0.1,,,lilt,35.0,6.0
6,0.1,,,lilt,87.0,6.0
6,0.1,,,lilt,2.0,7.0
6,0.1,,,lilt,45.0,8.0
6,0.1,,,lilt,74.0,8.0
6,0.1,,,lilt,36.0,12.0
6,0.1,,,lilt,88.0,12.0
6,0.1,,,lilt,83.0,25.0
6,0.1,,,lilt,51.0,6032.0
6,0.1,,,lilt,30.0,6626.0
7,0.1,,,eval,30.0,4515.0
7,0.1,,,eval,51.0,4533.0
7,0.1,,,lilt,29.0,5.0
7,0.1,,,lilt,80.0,5.0
7,0.1,,,lilt,76.0,9.0
7,0.1,,,lilt,86.0,27.0
7,0.1,,,lilt,37.0,53.0
7,0.1,,,lilt,89.0,53.0
7,0.1,,,lilt,51.0,3454.0
7,0.1,,,lilt,30.0,3458.0
7,0.1,,,lilt,103.0,7247.0
8,0.1,,,eval,51.0,6397.0
8,0.1,,,eval,80.0,9598.0
8,0.1,,,eval,103.0,9598.0
8,0.1,,,lilt,16.0,2.0
8,0.1,,,lilt,53.0,56.0
8,0.1,,,lilt,90.0,56.0
8,0.1,,,lilt,5.0,1094.0
8,0.1,,,lilt,79.0,1124.0
8,0.1,,,lilt,6.0,2868.0
8,0.1,,,lilt,80.0,5326.0
8,0.1,,,lilt,51.0,5726.0
8,0.1,,,lilt,103.0,6254.0
8,0.1,,,lilt,83.0,8498.0
8,0.1,,,lilt,37.0,9030.0
9,0.1,,,lilt,55.0,2.0
9,0.1,,,lilt,97.0,2.0
9,0.1,,,lilt,101.0,2.0
9,0.1,,,lilt,113.0,2.0
9,0.1,,,lilt,32.0,3.0
9,0.1,,,lilt,20.0,7.0
9,0.1,,,lilt,61.0,7.0
9,0.1,,,lilt,6.0,675.0
9,0.1,,,lilt,30.0,6425.0
