trial,alpha,alg,group,t,t-inv
2,0.1,lila,71.0,101.0,1219.0
5,0.1,lila,29.0,1821.0,199.0
14,0.1,lila,30.0,1199.0,186.0
15,0.1,lila,83.0,340.0,298.0
18,0.1,lila,71.0,111.0,1257.0
21,0.1,lila,91.0,102.0,135.0
22,0.1,lila,90.0,175.0,175.0
22,0.1,lila,105.0,175.0,129.0
22,0.1,lila,53.0,185.0,154.0
27,0.1,lila,3.0,259.0,171.0
30,0.1,lila,8.0,101.0,101.0
32,0.1,lila,79.0,139.0,101.0
34,0.1,lila,3.0,123.0,123.0
34,0.1,lila,70.0,529.0,405.0
38,0.1,lila,8.0,194.0,183.0
40,0.1,lila,26.0,101.0,101.0
40,0.1,lila,77.0,101.0,101.0
40,0.1,lila,91.0,101.0,109.0
47,0.1,lila,27.0,101.0,101.0
49,0.1,lila,83.0,352.0,188.0
